X	Y
543	936392.375
544	925370.312
545	952243.562
546	932015.312
547	926149.250
548	938380.188
549	931887.125
550	920027.438
551	907504.562
552	905862.375
553	908335.062
554	891387.938
555	906788.688
556	896612.938
557	901309.500
558	906825.000
559	918741.938
560	914548.875
561	899227.875
562	905421.312
563	906501.375
564	926194.875
565	921558.000
566	885568.438
567	897979.000
568	898708.750
569	910138.688
570	928271.938
571	917612.688
572	916350.250
573	898273.438
574	912856.500
575	905557.875
576	916953.812
577	892613.250
578	911227.438
579	914065.500
580	901331.875
581	885343.625
582	920144.250
583	895519.938
584	887437.812
585	892366.000
586	894062.562
587	917261.062
588	899966.312
589	912217.188
590	890108.875
591	899698.062
592	907768.562
593	923503.062
594	930417.688
595	922634.750
596	913527.000
597	920017.688
598	900896.062
599	908073.062
600	916036.375
601	905603.812
602	894231.000
603	889791.938
604	896442.312
605	909210.500
606	907238.875
607	905553.438
608	896920.812
609	902235.438
610	891673.750
611	893669.875
612	896257.312
613	878767.000
614	881970.125
615	873056.625
616	890437.688
617	877363.188
618	893919.625
619	906284.062
620	914980.500
621	911043.312
622	904689.000
623	887898.625
624	906975.812
625	911730.250
626	910636.375
627	901590.500
628	893747.188
629	911179.062
630	900421.188
631	892354.375
632	912245.438
633	891272.125
634	889814.375
635	901157.750
636	906787.938
637	899066.438
638	897829.812
639	907408.125
640	917047.438
641	894466.312
642	898147.062
643	900648.438
644	894538.938
645	914102.750
646	898322.250
647	898345.500
648	909005.625
649	888624.000
650	884651.562
651	888564.875
652	902251.312
653	891720.375
654	892928.125
655	877504.750
656	881699.500
657	907919.812
658	896998.688
659	911103.188
660	883830.875
661	874130.438
662	872621.438
663	876760.000
664	891300.625
665	884768.750
666	881370.000
667	882904.062
668	876287.438
669	897542.125
670	904647.438
671	880942.375
672	880994.062
673	885523.000
674	860501.250
675	883728.312
676	865023.188
677	882192.250
678	892889.750
679	878505.062
680	874930.688
681	882546.375
682	882461.438
683	874558.438
684	882359.188
685	880090.375
686	896842.562
687	883519.000
688	892481.500
689	889888.562
690	870754.938
691	867877.125
692	872256.188
693	875907.688
694	872876.375
695	914215.000
696	1022051.688
697	1003453.500
698	999042.500
699	979876.688
700	990079.750
701	954683.062
702	949552.688
703	950770.812
704	948739.000
705	958394.812
706	932818.000
707	925081.938
708	940208.875
709	916211.125
710	916705.625
711	929618.938
712	923016.000
713	917852.938
714	929317.500
715	922961.875
716	927516.688
717	921983.125
718	913057.688
719	943184.938
720	931674.062
721	927454.500
722	933627.500
723	928205.938
724	925405.000
725	924386.688
726	922054.625
727	924400.000
728	919274.375
729	925530.250
730	935540.625
731	932229.375
732	958214.938
733	928540.750
734	930645.375
735	940919.688
736	941709.500
737	933766.875
738	937500.000
739	949572.250
740	957954.750
741	957398.000
742	945203.562
743	943995.438
744	933783.312
745	943111.500
746	930726.812
747	936479.750
748	942979.812
749	963682.312
750	939581.438
751	924533.625
752	939999.688
753	938254.250
754	945366.875
755	941363.750
756	951414.250
757	950971.375
758	944179.812
759	944133.312
760	921739.375
761	938419.125
762	943503.562
763	950326.000
764	984254.500
765	955347.688
766	971810.750
767	965487.938
768	973033.688
769	929489.000
770	930670.750
771	935897.250
772	943823.562
773	936827.938
774	941258.750
775	926355.562
776	932851.875
777	937776.438
778	968398.562
779	930263.562
780	935450.812
781	942494.312
782	935454.812
783	941525.250
784	951213.000
785	948326.750
786	944626.250
787	941475.375
788	931115.688
789	923469.438
790	941682.375
791	931130.312
792	947559.125
793	932252.062
794	942358.875
795	934291.562
796	925875.750
797	937408.500
798	932697.375
799	933671.000
800	925972.562
801	941027.375
802	941531.438
803	934359.625
804	930760.875
805	946183.125
806	943930.500
807	929232.438
808	925525.938
809	938446.375
810	935565.375
811	928628.625
812	938103.438
813	916459.062
814	906269.500
815	919487.188
816	916098.188
817	944830.562
818	928720.812
819	907364.875
820	909170.688
821	922509.812
822	940354.875
823	926381.438
824	941196.000
825	932973.875
826	917655.438
827	914226.500
828	921909.062
829	915403.625
830	927978.688
831	936593.125
832	928907.188
833	917411.562
834	926581.250
835	939362.312
836	935978.438
837	929067.250
838	939576.750
839	940300.750
840	925989.938
841	927212.062
842	916524.875
843	903373.062
844	889906.688
845	896440.062
846	895333.000
847	885035.438
848	900482.438
849	912709.062
850	913949.438
851	920663.625
852	899497.250
853	911475.062
854	912561.812
855	925247.750
856	929759.938
857	928272.750
858	933795.562
859	935472.688
860	919280.188
861	908931.000
862	915534.812
863	896720.688
864	900670.938
865	891823.500
866	906102.688
867	917800.438
868	897463.750
869	900606.062
870	914919.812
871	891563.062
872	897795.812
873	914802.625
874	904577.312
875	919577.812
876	916532.562
877	889731.500
878	905182.938
879	903893.562
880	909350.125
881	908262.875
882	912251.562
883	884832.688
884	898988.188
885	894732.250
886	908984.375
887	871779.812
888	882752.500
889	887496.000
890	865701.375
891	881160.688
892	896162.938
893	902039.688
894	892669.125
895	901612.812
896	903237.062
897	899570.875
898	903400.562
899	895875.562
900	907480.438
901	906581.062
902	897867.875
903	881617.250
904	903133.438
905	895698.750
906	888134.375
907	911480.312
908	904154.938
909	891233.938
910	894462.875
911	889751.312
912	908112.188
913	891031.625
914	900254.000
915	895676.375
916	903414.250
917	893291.375
918	884089.875
919	884172.062
920	884791.250
921	887948.875
922	899348.312
923	904295.688
924	895933.750
925	874047.125
926	880218.000
927	885566.625
928	880061.250
929	907005.938
930	889077.688
931	907531.312
932	895840.062
933	904291.688
934	878749.188
935	888517.750
936	886831.062
937	870969.875
938	871113.062
939	885961.375
940	875344.375
941	893307.812
942	887678.188
943	869144.812
944	899501.000
945	890531.750
946	890463.625
947	906817.000
948	886617.750
949	915650.938
950	892670.938
951	894162.500
952	897085.625
953	898752.688
954	915734.188
955	896577.875
956	873470.750
957	880867.562
958	884700.250
959	866281.750
960	836994.562
961	873450.062
962	878033.875
963	868080.000
964	870162.938
965	872612.000
966	884868.688
967	851770.875
968	862409.812
969	871291.625
970	855144.312
971	872661.188
972	858225.812
