0352-0189	0337-0171	0286-0282	0191-0179	0333-0052	0238-0025	0092-0194	0108-0187	0150-0210	0385-0257	0467-0211	0424-0101	0394-0028	0303-0091	0236-0141	0241-0121	0265-0080	0249-0282	0215-0224	0150-0114	0113-0055	0056-0089	0480-0313	0428-0179	0362-0184	0040-0395	0483-0444	0473-0431	0453-0320	0500-0178	0457-0132	0359-0116	0309-0174	0242-0205	0207-0185	0139-0068	0257-0011	0216-0085	0171-0179	0389-0271	0359-0343	Average	Err
1388739.518	992368.443	1319288.659	1249700.512	805105.801	887648.400	1213084.670	1104872.263	850964.686	697669.303	704856.109	743252.070	1513064.006	1818169.282	865958.408	499685.842	1977516.143	163303.538	327623.625	1331609.118	1654032.760	765574.513	896417.877	686942.313	327623.625	1231211.340	1534929.851	637658.936	635784.721	1670303.725	861970.880	909293.659	1235043.069	600336.600	953782.747	1098175.993	1521140.871	1031768.612	981724.751	634718.809	2006451.559	1032423.600	68267.979
1262266.238	896067.715	1645005.675	1230876.603	875196.824	861287.524	1367101.973	1269999.111	820489.792	788301.109	715924.006	701817.258	1498674.969	1670260.533	883009.911	475569.396	1981952.557	126656.845	883009.911	1483352.681	1509762.919	707896.503	1048883.360	594542.730	855811.422	1327487.387	726476.686	645907.026	693033.899	1567271.248	885584.450	921558.585	1303978.711	699879.798	1011706.025	707896.503	1584504.773	998384.442	1025940.806	666202.540	2022074.647	1047356.222	64294.138
1192468.302	905685.601	1438912.955	1311628.286	847274.873	937241.833	1246755.757	1005301.299	799021.928	732753.379	777486.192	661724.477	1562469.246	1664250.704	840160.568	495763.101	2047849.349	148016.729	407078.012	1187698.694	1476417.313	750765.899	892772.798	679801.785	855541.473	1180849.710	735309.408	683417.555	655922.894	1788135.561	865967.663	696159.133	1215210.323	706127.182	930516.254	1002268.618	1572434.209	1117633.895	1110800.336	665364.928	1889586.910	1016598.662	63638.667
1210972.900	1034398.684	1357821.908	1243351.318	911968.464	898521.934	1197288.815	1098657.273	767658.517	646358.997	727417.650	727062.860	1588142.139	1726055.073	796692.657	511363.051	2039380.673	160386.549	375657.526	1115085.579	1492695.991	718748.440	960133.483	629002.067	938790.567	1338570.709	693427.252	650704.400	642781.791	1733732.414	853940.292	1027267.411	1282848.670	682164.993	1027267.411	934116.598	1664068.681	1185343.199	965029.581	1686671.871	1851943.721	1051060.783	65471.192
1356118.917	1016292.068	1309485.665	1239405.440	881265.271	910180.633	1170329.424	985957.547	799904.275	354746.528	754875.289	724997.367	1438775.666	1740575.228	732355.397	460591.100	1975219.266	115371.447	354746.528	1019218.312	1523675.304	722951.927	916293.814	635271.047	843817.987	1221221.695	880439.999	595698.110	706884.581	1756388.051	880743.884	798087.135	1185432.668	713496.010	954422.911	992417.805	1682764.557	971610.159	1050350.338	638826.657	1922512.939	998383.389	65455.879
1173308.115	930422.158	1412905.326	1206078.344	954307.219	947819.194	1092311.164	1105648.173	816968.118	736884.365	672031.890	702500.614	1504758.841	1756545.393	851362.667	530467.706	2055486.583	166069.355	392675.092	1077497.922	1491435.716	726993.445	945073.430	872455.688	819749.361	1327191.214	731744.542	633784.015	672374.339	1760815.210	1019360.228	924710.043	1348284.234	781274.730	987261.013	1057069.747	1741857.099	1019360.228	997266.083	1831276.448	1831276.448	1063577.110	65163.261
1329120.962	1029618.278	1428944.906	1290677.182	838869.442	890303.153	1286671.143	1237531.224	873367.343	784841.138	771282.000	695341.574	1464820.317	1808232.085	825797.754	504341.300	1982023.515	136557.021	278824.613	1702893.474	1465263.033	807976.512	955272.864	724695.025	857292.284	1264592.425	752700.274	574736.208	708058.472	1521376.883	953944.716	824869.131	1191846.649	825797.754	962792.863	1061331.851	1581192.888	996203.257	1170906.343	578424.478	2158145.760	1051158.002	66953.429
1323108.047	972555.751	1460590.606	1289615.898	763649.393	885019.871	1208979.907	1127020.397	879603.929	706014.575	770091.141	711705.093	1476087.204	1736202.059	881897.722	462149.089	1918958.871	136466.009	372717.399	1397339.312	757877.119	775738.467	950168.519	629082.280	808277.312	1286646.462	1081372.843	664079.972	1012167.252	1654808.669	810547.967	846989.499	798688.735	730931.611	915215.562	974274.167	1722558.080	1075421.631	1123359.892	608859.266	1952599.107	1016083.822	62989.068
1357314.404	935130.063	1253348.676	1286399.652	921870.183	879748.930	1189742.592	1088214.114	831659.498	706011.489	1636984.342	714116.121	1463765.203	1813154.407	736910.589	498792.697	2010707.493	128438.506	342188.515	1200409.422	1487136.590	663291.722	916381.740	621520.631	916381.740	1333955.357	696569.455	621184.353	674623.397	1687591.240	810466.211	773814.890	1177721.390	746482.199	1001275.207	1111647.204	1729644.619	1092692.178	1078671.813	720183.025	1896002.434	1042735.227	66249.493
1287036.731	1051112.365	1394980.732	1337841.076	897542.406	881447.293	1202681.618	1233623.910	1995323.502	689572.385	791592.940	684056.176	1390297.508	1639950.693	1712155.029	519509.332	992548.923	673836.690	916028.493	1195863.486	1582215.608	675511.914	901520.679	605633.765	757196.848	1315649.750	734386.954	880978.354	1014832.802	1633780.437	814802.358	785070.980	1266070.201	706321.545	947959.568	920634.589	1641210.968	1035478.479	1010026.173	591866.381	1926184.241	1078886.192	58943.685
1226472.583	986130.314	1429381.452	1203790.722	932692.812	852841.986	1184386.809	1483631.885	862395.085	702128.856	749622.859	646807.883	1540982.872	1687202.513	767764.954	463202.660	2020365.486	158606.430	350323.997	1103519.434	1543106.983	782428.567	944141.722	546238.881	835286.065	1281330.787	768135.169	645587.715	565379.015	1634516.240	1388739.518	791555.919	1285131.664	694400.610	943919.593	997622.416	1654791.701	1192178.300	981605.974	704856.109	1924569.177	1035555.457	65954.994
1186955.179	878067.535	446495.150	1198164.991	945695.084	857364.784	1219603.546	1162795.541	852436.292	688707.007	752012.291	669318.520	1510733.192	1588970.495	817649.931	446495.150	1963457.215	171909.502	337241.512	1060862.912	1560704.553	724932.579	937041.300	589995.251	850285.958	1377793.484	835104.043	631551.925	683007.233	1582019.702	891751.621	818151.265	1837522.290	711888.658	1035791.619	1019448.154	1669222.387	986065.526	974721.511	611938.224	1845912.296	998287.449	65728.708
1296202.646	919729.104	1254920.548	1311299.720	914373.322	828193.356	1191362.284	1094156.071	808129.226	803095.840	759885.537	670882.679	1528920.021	1812224.241	743225.846	480743.156	1984187.733	108227.833	333547.071	1013965.881	1476315.504	762021.988	887993.935	624173.842	822401.028	1213573.663	769321.401	603438.696	619502.958	1601800.000	878352.910	764989.881	1234541.735	669918.577	951894.649	1689465.455	1627085.709	1060418.654	922285.133	692958.313	1895257.376	1015243.501	65880.419
1315478.526	870845.251	1405394.581	1258033.443	922939.180	930520.882	1207205.959	1093113.298	910657.285	700285.492	794238.437	680013.116	1428810.703	1192468.302	840160.568	495763.101	2047849.349	148016.729	407078.012	1187698.694	1476417.313	750765.899	892772.798	679801.785	855541.473	1180849.710	735309.408	683417.555	655922.894	1788135.561	865967.663	696159.133	1260592.556	740898.117	908991.316	974206.294	1673408.906	1017581.651	1035137.572	723079.960	1197288.815	990946.763	57467.311
1246771.183	926544.152	1181927.962	1191332.975	875016.344	833985.684	988916.185	1051414.708	913992.308	718632.748	797812.558	686439.437	1558403.047	1696741.729	870232.853	424655.529	1916970.506	134328.016	759572.397	1092283.398	1530161.785	636731.855	1039655.742	635271.047	843817.987	1221221.695	880439.999	595698.110	910180.633	1756388.051	880743.884	798087.135	1185432.668	1019218.312	916293.814	992417.805	1221221.695	971610.159	1756388.051	638826.657	1922512.939	1029714.482	60986.554
1332135.132	927949.428	1208504.798	1166590.249	908676.633	947819.194	1092311.164	1105648.173	816968.118	736884.365	672031.890	702500.614	1504758.841	1504758.841	851362.667	530467.706	2055486.583	166069.355	392675.092	1077497.922	1491435.716	726993.445	945073.430	654742.832	819749.361	1327191.214	731744.542	633784.015	672374.339	1760815.210	872455.688	924710.043	1348284.234	781274.730	987261.013	1057069.747	1741857.099	1019360.228	997266.083	689961.111	1831276.448	1017457.983	61908.353
1320781.861	831661.040	1284872.514	1160312.013	926487.077	914740.452	1024725.265	1060191.897	878669.135	776414.110	713406.541	734780.308	1564772.294	1798142.174	865233.403	438277.911	2197308.375	176359.800	331993.709	1028168.268	1549442.293	676565.485	995320.910	681231.741	878815.679	1150388.699	743710.211	624161.501	630262.342	1638079.563	876831.942	730152.616	1301618.588	717279.919	924578.925	987401.387	1611092.406	986117.973	1024634.254	667954.893	734780.308	979456.580	61796.074
1190766.854	976857.962	1296944.619	1199684.417	897513.097	955050.734	1109296.337	1039287.069	912392.670	708271.346	747504.919	679354.441	1526575.324	1624646.916	801014.921	418843.148	2107813.439	183421.658	304969.530	1073661.566	1623002.542	665641.047	914738.909	553394.835	819974.575	1204375.354	712795.686	621866.166	653943.784	1683196.475	862077.317	928279.536	1184254.149	740598.859	885922.271	1315461.558	1631907.764	1039955.000	1068802.489	623237.505	740598.859	981168.187	61261.640
1338652.465	902390.685	1119282.896	1312413.451	924211.795	983793.329	999363.970	1201951.986	773858.082	707385.914	786732.321	772642.541	1535742.782	1955818.438	892825.245	539730.803	2044449.538	142188.922	353796.309	1116020.373	1597630.450	842968.034	948565.795	723484.112	835465.003	1386761.951	782769.474	599131.858	706477.344	1788117.050	852497.995	843875.062	1139256.015	684406.338	1008577.705	1060233.546	1757850.402	973390.278	1034565.281	684642.350	1926923.129	1038557.098	66321.612
1188084.335	992818.871	1212021.844	1294147.951	923534.609	881712.614	1024281.007	1074253.910	864766.006	580045.713	835606.919	682055.471	1422884.172	1743114.288	863271.262	425942.027	1974659.315	135936.910	296271.012	1055315.852	1495599.096	1253348.676	882292.618	1189742.592	1088214.114	1294064.652	737984.213	652865.532	649283.698	1798129.833	864349.514	771368.384	1156719.382	658591.530	956329.520	1051568.964	1636984.342	1059196.943	1077061.377	686556.672	1804152.003	1030125.067	62336.485
1309619.868	997668.693	767532.027	1314583.839	867672.197	843480.165	1082474.234	1070011.859	829308.630	660572.182	712693.877	729762.347	1390379.263	1672279.749	820081.012	368973.596	2059984.700	116744.329	300889.449	989969.756	1459702.090	767106.279	909969.302	689572.385	805645.698	1260213.085	762517.151	648461.512	677148.574	1712155.029	881447.293	783179.796	1254588.897	717529.815	992548.923	1390297.508	1797114.826	1165046.142	986400.263	673836.690	1958781.704	1004827.920	66090.150
1234611.151	931529.719	1197583.444	1275887.078	950460.064	920676.238	1121228.069	1020689.918	923395.779	746509.965	672735.299	714808.732	1420752.349	1635784.228	648515.501	429692.000	1962383.591	178602.688	314380.713	1103519.434	1543106.983	782428.567	944141.722	546238.881	835286.065	1281330.787	768135.169	645587.715	565379.015	1634516.240	844922.463	836126.763	1090097.585	750528.344	1005503.375	1163370.918	1668242.859	1024330.369	1001125.579	770766.784	1723506.757	995815.095	60573.870
1256476.995	916006.897	1228954.569	1249316.413	896206.546	1004264.696	1175824.037	1228991.590	824744.183	631883.576	876386.141	701886.673	1439869.344	1506350.768	761107.248	452700.885	2082402.783	164836.846	307980.615	1060862.912	1560704.553	724932.579	937041.300	589995.251	850285.958	1377793.484	835104.043	631551.925	683007.233	1582019.702	891751.621	818151.265	1086083.833	711888.658	1035791.619	1067076.360	1669222.387	1140289.532	1019448.154	658154.984	1828626.324	1011365.231	61927.345
1243595.043	883461.882	1156247.357	1285742.520	891458.534	926917.452	1284218.466	1199570.267	865691.544	663694.331	719183.443	668195.533	1462839.665	1647757.609	818145.094	442658.793	2046570.563	137234.206	351269.589	981562.782	1553837.058	658013.068	889227.986	685450.654	822401.028	1213573.663	769321.401	603438.696	619502.958	1601800.000	878352.910	764989.881	1234541.735	669918.577	951894.649	1689465.455	1627085.709	1060418.654	922285.133	692958.313	1895257.376	1011701.209	65488.577
